,Phylum,Class,Order,Family,Genus,Species
otu433,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Sphaerotilus,s:Sphaerotilus_sp._FG_8
otu4330,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Azoarcus,
otu4331,p:Proteobacteria,c:Gammaproteobacteria,,,,
otu4332,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Aquicella,
otu4333,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
otu4334,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,g:Prosthecobacter,s:Prosthecobacter_sp._EBTL04
otu4335,,,,,,
otu4336,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,,
otu4337,p:Proteobacteria,,,,,
otu4338,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Chryseobacterium,
otu4339,p:Proteobacteria,,,,,
otu434,p:Actinobacteria,c:Thermoleophilia,o:Solirubrobacterales,f:TM146,,
otu4340,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,,
otu4341,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,,
otu4342,p:Actinobacteria,c:Thermoleophilia,o:Gaiellales,f:Gaiellaceae,g:Gaiella,
otu4343,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Moraxella,
otu4344,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadales_Incertae_Sedis,g:Acidibacter,
otu4345,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Coxiellaceae,g:Aquicella,
otu4346,p:Proteobacteria,c:Betaproteobacteria,o:Neisseriales,f:Neisseriaceae,,
otu4347,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Emticicia,s:Emticicia_sp._KJ033
otu4348,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,g:Sediminibacterium,
otu4349,p:Proteobacteria,c:Betaproteobacteria,o:Methylophilales,f:Methylophilaceae,g:PRD01a011B,
otu435,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,
otu4350,,,,,,
otu4351,p:Chlamydiae,c:Chlamydiae,o:Chlamydiales,f:Parachlamydiaceae,,
otu4352,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,
otu4353,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Ignatzschineria,
otu4354,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,g:Ferruginibacter,
otu4355,p:Planctomycetes,c:Planctomycetacia,o:Planctomycetales,f:Planctomycetaceae,g:Pirellula,
otu4356,p:Proteobacteria,c:Gammaproteobacteria,o:NKB5,,,
otu4357,p:Bacteroidetes,,,,,
otu4358,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,
otu4359,p:Proteobacteria,c:Deltaproteobacteria,o:Sh765B-TzT-29,,,
